"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
9,786330255E1;5,594512168E1;-3,381210880E0;3,180484276E1;8,626220703E1;1,056000042E1;2,338000031E2;9,688632203E-1;7,821091175E0;4,836189747E0;2,100000000E1
9,886330255E1;5,594510134E1;-3,381354840E0;3,156698091E1;8,602465820E1;1,030000019E1;2,353000031E2;9,803075486E-1;8,010517120E0;5,038715363E0;2,100000000E1
9,986330255E1;5,594504303E1;-3,381506290E0;3,163603344E1;8,609405518E1;1,093000031E1;2,353999939E2;9,906122782E-1;8,565633774E0;5,328339100E0;1,900000000E1
1,008633025E2;5,594499205E1;-3,381644490E0;3,194223860E1;8,640057373E1;1,043000031E1;2,356999969E2;1,000477900E0;8,680261612E0;5,380307198E0;1,800000000E1
1,018633025E2;5,594493980E1;-3,381772540E0;3,193443886E1;8,639306641E1;9,699999809E0;2,348999939E2;1,009826614E0;8,555758476E0;5,335669994E0;1,900000000E1
1,028633025E2;5,594489777E1;-3,381902570E0;3,262903170E1;8,708795166E1;1,007999992E1;2,353000031E2;1,020021907E0;8,589682579E0;5,318747044E0;1,600000000E1
1,038633025E2;5,594486411E1;-3,382054870E0;3,228018485E1;8,673944092E1;1,002000046E1;2,366000061E2;1,030654360E0;8,237921715E0;5,274918079E0;1,700000000E1
1,048633025E2;5,594481546E1;-3,382201870E0;3,300678253E1;8,746636963E1;1,021000004E1;2,368000031E2;1,042073750E0;8,118351936E0;5,214270592E0;1,500000000E1
1,058633025E2;5,594477971E1;-3,382373790E0;3,251055446E1;8,697052002E1;1,027999973E1;2,376000061E2;1,050378210E0;8,667981148E0;5,499837399E0;1,500000000E1
1,068633025E2;5,594473842E1;-3,382484920E0;3,251658899E1;8,697680664E1;9,310000420E0;2,371999969E2;1,060280906E0;8,839261055E0;5,789275169E0;1,800000000E1
1,078633025E2;5,594469471E1;-3,382623480E0;3,257981547E1;8,704034424E1;1,002999973E1;2,371999969E2;1,070680982E0;8,867432594E0;5,762486458E0;1,700000000E1
1,088633025E2;5,594464494E1;-3,382764890E0;3,274978393E1;8,721063232E1;1,023999977E1;2,371999969E2;1,080743632E0;8,251790047E0;5,466666698E0;1,800000000E1
1,098633025E2;5,594457228E1;-3,382861220E0;3,466043900E1;8,912152100E1;9,899999619E0;2,363000031E2;1,092460464E0;8,420751572E0;5,540984631E0;1,800000000E1
